id,updated_at,title,lat,lon,data
174459558,2016-09-01 07:56:48,Ci occorrono 4:5 brandine per dormire siamo a Retrosi nella struttura all interno dei giardini pubblici di Retrosi. Attendiamo vostra risposta grazie,,,
174459881,2016-09-01 07:58:46,Ci occorrono 4:5 brandine per dormire siamo a Retrosi nella struttura all interno dei giardini pubblici di Retrosi. Attendiamo vostra risposta grazie,,,
174460015,2016-09-01 07:59:29,Casale. Danni enormi.,,,
174591334,2016-09-01 18:20:06,Descrizione di prova solo testo,,,
174708113,2016-09-02 08:38:51,Situazione al C.O.M.,,,
174711673,2016-09-02 08:55:35,Porta romana chiusa,,,
174711703,2016-09-02 08:55:45,Strada chiusa nel centro di Norcia,,,
174731587,2016-09-02 10:45:09,Test,,,
174732001,2016-09-02 10:47:38,Prova segnalazione,,,
174733083,2016-09-02 10:54:49,Campanile pericolante presso Sant Antonio,,,
174733822,2016-09-02 10:59:48,Riunione COM Sindaco Norcia e CNR,,,
174745589,2016-09-02 12:12:37,Lesione muro portante,,,
174747271,2016-09-02 12:23:04,Crollo mura urbiche,,,
174750329,2016-09-02 12:39:23,Pericolo di crollo civile abitazione,,,
174758047,2016-09-02 13:19:50,Civile abitazione,,,
174758815,2016-09-02 13:23:44,Crollo civile abitazione,,,
174917615,2016-09-03 21:12:32,prova da umbria caobelli :),,,
174919476,2016-09-03 21:47:54,WiFi tim gratuito con password,,,
174953575,2016-09-04 15:13:38,URGENTE. Al campo di Pescara del Tronto il personale della protezione civile è cambiato causando disagio logistico al campo. Non hanno beni di prima necessità come acqua etc.,,,
175335664,2016-09-06 19:53:08,Blocco della salaria per frana,,,
174953880,2016-09-07 07:30:59,Fessurazione del terreno,42.784016,13.131418,"{""latitude"": 42.784016,""longitude"": 13.131418}"
