State,Federal,Criminal,Liberal,RTY,Finance,Business,Political,Misc,famend
28,27,100,145,231,113,195,211,501,156
3,19,126,8,198,171,184,251,111,220
4,111,215,114,245,135,116,201,240,32
105,325,137,106,234,119,114,343,25,338
21,330,254,170,104,237,117,0,159,124
5,334,213,249,148,173,172,0,152,178
6,341,142,223,187,197,176,0,130,232
26,346,110,222,209,196,238,0,138,191
20,356,136,186,132,0,122,0,123,226
18,376,217,212,205,0,117,0,166,242
15,397,169,239,121,0,216,0,600,246
17,410,0,218,157,0,143,0,117,112
2,382,0,174,219,0,185,0,24,221
0,368,0,247,243,0,206,0,167,101
0,304,0,150,194,0,158,0,214,179
0,327,0,154,0,0,143,0,168,0
0,332,0,134,0,0,185,0,193,0
0,23,0,188,0,0,206,0,236,0
0,305,0,153,0,0,165,0,200,0
0,314,0,175,0,0,156,0,227,0
0,315,0,207,0,0,120,0,244,0
0,361,0,250,0,0,225,0,131,0
0,396,0,241,0,0,203,0,127,0
0,329,0,202,0,0,210,0,181,0
0,354,0,224,0,0,102,0,0,0
0,394,0,253,0,0,233,0,0,0
0,406,0,199,0,0,128,0,0,0
0,317,0,140,0,0,189,0,0,0
0,344,0,182,0,0,151,0,0,0
0,108,0,9,0,0,146,0,0,0
0,312,0,230,0,0,141,0,0,0
0,316,0,10,0,0,115,0,0,0
0,340,0,129,0,0,125,0,0,0
0,390,0,13,0,0,139,0,0,0
0,347,0,180,0,0,118,0,0,0
0,1,0,155,0,0,133,0,0,0
0,371,0,164,0,0,109,0,0,0
0,363,0,161,0,0,144,0,0,0
0,326,0,162,0,0,147,0,0,0
0,357,0,4,0,0,228,0,0,0
0,324,0,204,0,0,105,0,0,0
0,362,0,192,0,0,160,0,0,0
0,405,0,183,0,0,252,0,0,0
0,333,0,149,0,0,103,0,0,0
0,366,0,229,0,0,235,0,0,0
0,328,0,248,0,0,0,0,0,0
0,412,0,0,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0,0
0,303,0,0,0,0,0,0,0,0
0,407,0,0,0,0,0,0,0,0
0,393,0,0,0,0,0,0,0,0
0,390,0,0,0,0,0,0,0,0
0,347,0,0,0,0,0,0,0,0
0,340,0,0,0,0,0,0,0,0
0,316,0,0,0,0,0,0,0,0
0,312,0,0,0,0,0,0,0,0
0,414,0,0,0,0,0,0,0,0
0,403,0,0,0,0,0,0,0,0
0,408,0,0,0,0,0,0,0,0
0,377,0,0,0,0,0,0,0,0
0,331,0,0,0,0,0,0,0,0
0,364,0,0,0,0,0,0,0,0
0,320,0,0,0,0,0,0,0,0
0,349,0,0,0,0,0,0,0,0
0,393,0,0,0,0,0,0,0,0
